"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-BH-A0H6-01A-21R-A056-07",4364447.4742,151923.404153,144.771099519,776399.031303,76761.2357233,986411.972271,118444.951477,0,183515.679318,68860.4577956,126021.07017,241798.517778,167187.947665,53324.139044,128048.156572,214457.674226,2132.30181372,868249.485506,2410.83138324,564554.903124,284900.845561,175436.533139,379673.411202,139725.694824,324965.862375,412587.246604,2824140.75518,135.743264962,433630.445192,92353.5528892,396341.345634,4454.85382597,175107.227506,286306.93145,136955.769206,368746.11042,5236.36327794,15375.5450366,38457.5460795,1814563.55228,258342.6883,173581.616599,1390326.22049,500371.321131,180820.754232,276403.652259,176769.138948,144033.88802,241688.506957,106655.689093,13102.5509627,11220.5911574,4737.86771427,0,0,4798.83292383,0,0,0,0,0,0,0,0,3839.06633907,3839.06633907,0,11311.534749,0,16242.2037422
"TCGA-E2-A15E-01A-11R-A12D-07",5094227.67661,109340.901214,700.700998797,492546.865611,104871.394377,631688.743052,48955.912292,1076.02693637,277818.754508,87615.8540059,179528.158741,222409.664145,249967.950512,86445.0344051,123371.819537,405294.587418,43001.9646983,601227.470058,8508.33354807,813219.779125,600389.847513,229921.55539,330859.961941,124126.203248,411610.881269,452566.022148,3202740.85097,383.253340149,817870.830463,104159.311425,444812.17532,77124.7772469,306061.601793,158706.457665,100764.799892,226582.04018,0,51964.6986481,7283.61708957,1319494.40552,205916.227096,178195.789971,1159918.48457,561711.485632,186191.551704,333908.252138,174033.973902,167649.055269,123793.208855,137165.162463,5284.76250718,23133.7749753,12561.7792943,0,11746.8092729,29033.3070098,0,0,0,0,0,0,4223.02647415,0,0,4645.32912157,0,0,0,32755.5258572
"TCGA-A7-A4SA-01A-11R-A266-07",3235681.68355,218484.884094,192.919506844,250551.05695,73036.7507874,646027.033839,100953.636808,418.243182061,355881.249292,92043.1807052,145317.258788,244571.091256,283083.212863,206829.762678,125603.480175,274485.454567,78749.2881105,743560.501729,25567.2037297,681742.244064,2621221.98055,286842.203647,101629.007948,155267.82846,514488.805825,835672.717736,1935652.88262,6270.82448861,618610.27201,156637.028344,270031.303361,53275.9454996,145316.047809,264451.665221,328291.283309,374763.054231,273.642694609,5652.1903474,28609.6817659,801971.970852,225274.890053,145492.732054,687973.913488,278244.746689,189008.159438,105543.73726,94347.47346,186779.822175,86928.2750228,171882.433039,15104.4905096,24533.4987869,11977.2743753,0,0,0,0,0,0,0,0,0,0,0,0,5115.87455876,0,0,0,7214.69489055
"TCGA-AR-A24X-01A-11R-A169-07",5251538.99466,80291.9397938,360.86101438,1072266.19264,115270.732435,1457806.73669,54517.020126,521.55658563,231458.597494,93966.1966897,317761.124032,220949.5447,246531.523154,113363.905119,104248.747838,281324.344406,96176.9656167,795845.979824,3505.4334218,711050.905083,275030.9368,211320.293772,292346.886317,70370.7649691,496028.514514,504465.336217,4218775.77957,6767.15897748,651518.060393,72395.9697775,665342.601787,21923.8927722,388103.505644,370828.768142,84454.732772,327129.501385,2047.42344556,54267.0234909,15837.8207159,2025393.22073,252103.613265,360178.938738,932390.264198,590266.167324,183917.572917,349295.628844,256508.112734,292701.357793,217538.338371,159881.109066,9460.98316463,11065.3261556,8423.13670664,0,0,11961.722488,0,0,0,0,0,0,4349.71726838,0,0,0,0,0,0,13495.2766532
"TCGA-BH-A0B2-01A-11R-A10J-07",4378163.7561,117331.319404,139.939979043,289470.599974,91610.2273223,650862.485369,52031.6739131,2427.08238644,215436.854895,55423.4964721,105855.649083,280813.002948,222940.467351,44413.2729066,188683.257973,408046.31056,56239.8217149,603038.113638,16603.9584031,397286.493081,353817.947048,240517.606679,267322.387721,144730.954534,382212.341912,700214.398835,3436684.46325,14345.999506,675803.557711,260268.127935,346589.082059,37209.915515,296972.552421,203158.269183,457331.562078,366175.925578,10222.4912822,31582.7095108,11895.7404295,1327091.30403,254392.281728,147038.557822,811650.136115,416568.710885,182101.732746,249549.630577,134453.784528,173706.873983,322747.385041,106637.272799,11660.1257298,34591.8524051,7071.69055952,0,0,4638.69225988,0,0,0,0,0,0,0,0,0,0,0,0,0,10466.7927915
"TCGA-A2-A0CU-01A-12R-A034-07",6046348.92599,123294.605689,660.344724379,508729.355179,113305.409363,1381181.16001,45360.7130169,0,265495.074773,77305.4251774,234481.79497,318676.098255,158726.431388,73947.9781937,113631.06562,174784.824252,53261.8272461,813499.209022,10080.1527931,931567.981387,336365.251536,128750.324705,232217.424916,97052.1340357,243724.16019,480264.584735,2574439.7114,5696.32759927,298921.298629,79867.5179284,466247.908093,18131.6336281,267529.593237,920291.266493,114326.002365,170065.440979,1592.30899768,3385.70720078,51801.251229,918675.951556,499309.064703,206151.934871,568883.691379,227010.699853,185143.5918,278057.179411,182506.80332,305277.477029,210909.82736,109064.501637,2561.3440112,41043.7846871,5784.07939456,0,0,0,0,0,0,0,0,0,3183.8439025,0,0,3502.22829275,0,0,0,24695.1995002
"TCGA-AQ-A1H3-01A-31R-A13Q-07",5139489.15737,148094.281418,97.2602209125,568982.771512,144712.146587,607484.468031,57434.9288944,1265.14187024,215069.016563,66088.4010254,238925.63125,423370.227988,280901.058818,138842.535719,176884.239774,181226.288516,32402.3396467,442874.827363,9312.96690948,599846.043811,296628.469792,185517.254761,239553.803022,132952.260949,459497.660126,446914.193849,2579312.44966,8085.96862004,514932.354513,113218.727447,543611.578517,21333.7413859,323258.872537,241855.474074,142882.456794,247591.281203,5794.18366393,9305.55327369,32711.3511062,1355455.44473,430008.931468,293322.658549,1430202.62979,542587.167005,154756.8562,362447.398945,235955.839104,289774.832237,314288.713358,148045.501909,13832.6020073,22102.3695213,10110.6982199,0,0,9671.86583188,0,0,0,0,0,0,2344.69474712,0,0,0,0,0,0,25460.9801386
"TCGA-BH-A1EY-01A-11R-A13Q-07",4619482.87615,123748.536011,0,376619.714316,82869.2302062,990365.818304,46927.3319278,442.674064383,215812.921831,68127.2544058,195336.3221,156992.041376,305018.930639,84561.4166803,112103.91752,255165.653936,13502.8286124,618216.03689,4493.24404326,1084440.77725,1078589.91185,69759.0590969,131649.501487,92288.056551,725934.065901,384717.858851,2307119.34165,2352.16714937,304615.152342,121894.657221,492796.868518,33142.310492,252906.254723,900544.955329,384686.207155,357958.553051,10178.3207664,3284.95239423,12047.6594086,861730.034123,177805.162511,161711.913853,790312.043607,404142.296362,263096.747834,165246.430879,185096.454183,135605.789525,177239.353965,151034.247169,20994.4485712,20742.531598,2526.95763671,0,0,0,0,0,0,0,6006.23146515,0,0,0,0,9282.35771886,0,0,0,0
"TCGA-E9-A228-01A-31R-A157-07",3949753.0671,131549.087058,0,226552.491763,98109.3452228,473164.741186,27219.4878666,183.960331309,355329.208919,147028.534779,438430.700585,134387.261717,174602.962194,228251.364327,53158.3625829,148761.226662,381794.058207,563311.279575,2472.83118045,538132.848774,269402.606797,164753.912092,262014.072973,98967.3663227,308175.713431,713119.235993,4805818.5344,31.8249599198,1220438.37264,73381.4404175,740687.81223,18558.8755924,450709.390027,160839.396919,246346.232092,264144.712416,3899.63699254,932.273543415,2258.00963648,2112361.21064,540319.969423,58121.89212,425458.102679,87276.2625832,87259.8923998,337491.098549,208000.490534,373330.827221,1519814.9955,186567.421131,9435.08575972,14136.6242092,17445.9589064,0,0,0,0,0,0,0,3494.3805992,0,0,0,0,0,0,0,0,0
"TCGA-E9-A249-01A-11R-A169-07",4630707.22025,57588.5621296,93.8199134267,835339.575193,124817.660947,830656.481486,46891.4324261,7796.94266284,292781.723626,68122.1864308,282680.644627,136330.09393,241141.418185,186584.010495,78838.0793009,249569.925197,269461.326081,1169662.64139,3905.88992577,646027.75454,245789.492662,222145.685967,375728.184984,68418.1718664,195645.679274,329083.103855,5340192.02271,850.37050643,605887.656435,116414.138367,515111.770805,6218.15140577,150433.471097,202951.051062,122617.004002,433960.259845,332.692301806,59570.6242177,2904.03390247,1255579.96402,331409.903348,409349.718092,1362630.37313,520656.202425,319371.493545,290370.713676,183530.881596,243115.984466,210314.553487,163415.701817,2426.05682068,11330.9599738,11875.254381,10136.0254617,0,0,0,0,0,0,0,0,9047.0309906,0,0,0,0,0,0,10525.8725948
