"","RHOA","BCR","FOXL2","RUNX1","CBL","CDKN1B","MAP3K8","DMBT1","DNMT1","DNMT3A","ECT2","ETS2","ETV6","EZH2","FOXO1","FOXO3","FLT3","FUS","GLI1","HDAC1","IDH1","FOXO4","MXI1","NOTCH1","NOTCH2","NOTCH3","NPM1","PAX5","PHB","PML","PTPN11","RARB","RB1","SKIL","SPI1","TCF3","WT1","ZBTB16","NR4A3","NCOA4","SPOP","KLF4","LITAF","YAP1","RASSF1","ARHGEF12","SIRT1","SUZ12","WHSC1L1","WDR11","SALL4","HOPX","LHX4","MIR106A","MIR107","MIR125B1","MIR146A","MIR150","MIR155","MIR17","MIR194-1","MIR194-2","MIR196A2","MIR20A","MIR203A","MIR210","MIR214","MIR222","MIR223","MIR27A"
"TCGA-A7-A3IY-01A-21R-A21T-07",4999097.57483,113725.256505,124.615762872,240103.217075,73747.1193522,816235.640712,74295.7724797,5988.61092279,130543.865485,45332.1768941,134521.005075,368646.241608,177872.999603,102250.623029,77442.4669091,74574.6174838,203209.237604,561817.751384,2507.52170044,723614.554219,418018.25775,168306.548232,210985.495576,77851.7050112,117007.504834,257749.770595,4739513.3602,116.84480241,569976.070097,142506.734822,283643.413414,19173.1985821,323612.410147,223651.762435,574860.163333,250447.205801,768281.507253,5191.28694399,151354.528034,1105751.37758,308180.895177,174450.216071,1011058.86038,359058.528792,248817.278993,162269.076388,136903.134483,170286.745223,91734.0407794,114481.846208,6444.79216485,38539.9762937,1199.4858284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27961.8600229
"TCGA-AC-A3W6-01A-12R-A22K-07",6530094.91599,217650.709062,442.155585118,349370.784763,68247.6369256,709502.314486,79513.5964668,4047.33291944,208334.284231,108660.973471,129234.784656,363212.097339,245496.446682,102204.071202,109052.819297,275849.841913,12301.2241062,861559.399518,23725.5105689,635391.55937,226845.420737,125846.219163,113383.107429,271094.927609,196463.684383,985883.856639,2256756.79318,1796.52651272,306479.487158,232165.684302,225531.15968,58261.0845493,132133.777924,235844.209569,464208.370961,508411.775354,522.638723474,26381.0015767,8443.20622858,748122.26371,181874.786049,182473.304026,715489.788913,297244.780565,438327.291693,124304.784621,137261.603612,85826.9217055,106437.699331,96005.6035535,30277.7314907,47910.891066,5603.67703356,0,0,0,0,0,0,0,10115.8262101,0,7106.15890793,0,0,3908.38739936,0,0,0,44094.6270697
"TCGA-AR-A1AK-01A-21R-A12P-07",4721746.867,130367.118806,0,272415.829957,84917.8077173,1297535.79073,151887.714534,294.139956277,262523.7844,70329.0103711,113785.225852,475865.798524,353811.391258,73429.2560973,115235.743676,231687.50246,37111.9190566,669140.883012,29183.4553908,707743.820405,391154.615955,198858.578169,166140.679792,178494.962204,284553.468791,603885.455644,2413465.36676,466.454347249,692125.265392,175979.076501,406739.935294,51063.0385254,249109.532059,204341.431545,467305.29492,150104.409138,1347.12238181,11863.0217253,54218.7193795,958898.889507,330011.19991,317023.265111,1241185.716,250747.74877,200407.902616,189319.957491,146096.621131,241678.587759,99226.7604193,127709.817584,2923.65410862,26799.5341628,13385.8915674,0,4549.02656518,4497.33308148,0,0,0,0,0,0,0,0,0,3597.86646519,0,0,0,50739.1424578
"TCGA-AC-A7VB-01A-11R-A352-07",4867710.7583,113695.061782,105.848850223,118516.362688,36841.27165,310848.061888,38241.4465041,114.738422929,215433.043268,136116.892533,330939.78913,83254.624172,85405.7194447,137378.886634,14930.6260548,176874.799645,445.435579854,1305546.28596,2423.67178196,1143888.57254,1481543.12857,196614.623134,274379.84099,62002.2282051,339354.24208,433067.511416,3153751.00773,132.330910148,1317343.1341,119484.226018,183597.221238,7098.91619385,114365.230117,253571.339654,55215.8557553,173779.682707,225.208676953,1162.94198155,3080.76481698,1645615.64826,436330.727657,65397.6084938,263911.411194,137510.500869,89786.3518667,79201.953024,161945.228828,197697.650047,1095259.74183,168298.587679,1824.73930225,12186.3659754,6214.95689233,0,0,0,0,0,0,0,3632.48348355,0,2551.74459588,0,2806.91905547,8420.75716642,0,2756.79550091,0,0
"TCGA-D8-A1Y0-01A-11R-A14M-07",4590088.99292,95859.7067205,497.920063415,284350.0503,99721.4745223,1239726.25095,65610.2211044,359.824804901,304888.325075,87746.1150644,345653.832265,300232.668465,399461.795799,176495.320064,113891.795546,220282.196355,12164.7215044,766212.577191,29308.9243544,608631.536215,345238.657438,98247.4384561,189685.351935,99082.96802,517911.062086,368158.891678,5318947.11521,6769.61618844,405808.268019,92261.6726938,574454.206221,26780.4988467,201772.561357,284252.787516,200888.284235,235303.673126,353.132221002,2773.26836743,37342.1384102,848528.419204,229778.818916,166850.486681,1619730.50578,323083.254668,141970.083354,211431.22483,230370.1225,241702.392366,205107.41102,150354.116221,6258.94470258,42775.5486097,12900.3960422,0,0,2750.81974428,0,0,0,0,8543.72249989,0,14004.1732436,0,0,0,0,2161.35837051,0,6206.97788454
"TCGA-A8-A06O-01A-11R-A00Z-07",6708593.6824,81708.0353816,5574.74794808,227428.18993,64742.3928335,790612.03646,126913.919411,167.859322893,410197.451229,67023.6091932,347838.446046,130867.941069,200013.108353,139873.096069,73924.5698583,272965.070574,13114.6705042,709488.676354,13216.0468274,480432.823812,333974.114172,114205.040654,195974.438683,78077.6105851,617686.5817,267087.510415,4205924.63302,2032.76506932,1001428.52521,120341.646884,553644.297122,25200.1816521,183861.630504,213708.715369,200747.621147,241995.158982,17379.775966,4200.21723098,23823.1300003,1754955.9493,313453.073505,89811.0456614,958632.766588,184565.204734,193721.166758,180482.945486,208882.116473,232495.475543,120723.87859,150368.348919,6757.28843947,29844.9838213,29904.0442104,0,0,0,0,0,0,0,11957.0145328,0,27998.5188784,0,0,0,0,0,0,13030.0799395
"TCGA-OL-A5D6-01A-21R-A27Q-07",6549052.65889,242269.842807,2030.96679697,401908.571195,53787.0833608,294865.757765,59525.9750678,3068.80608483,226568.95704,81772.0656318,101564.422659,305095.090949,186274.794335,105761.834472,175261.781066,357213.440105,17741.004833,673599.055966,23444.1747439,524441.769008,1819474.71666,101090.318458,136309.745074,155957.936602,399925.296852,1048886.3301,2889567.1263,1673.4906856,901742.041856,299265.328723,414786.252284,51424.7065632,194599.565233,185753.862222,277747.715919,446982.20575,2749.83827514,196429.59626,9979.93819177,1201396.9557,191709.230027,188552.930955,1738874.98397,359535.052657,305626.589162,157551.641749,128756.341257,74036.6459598,94247.175701,107347.329578,9813.98291644,80998.1936743,4176.38128868,0,0,0,0,0,0,0,0,0,17804.1476988,0,0,9792.28123432,0,0,0,0
"TCGA-D8-A145-01A-11R-A115-07",3352749.80635,162498.99104,548.508741858,236368.306151,87919.7557785,549413.020277,50430.43599,644.122383253,250673.744385,37570.7154742,144098.927078,349336.235038,294162.54417,55373.7284387,158045.086904,362543.711954,39913.4407309,681007.488087,80970.5042816,592379.510472,390341.029443,245546.852335,379075.320165,122672.064777,455320.161866,645305.514158,2751828.63114,9300.33215472,403230.849401,118764.320139,442195.540309,45225.8588044,203598.638353,318118.735544,125857.902368,370723.684211,389.010454656,70809.7928437,6968.64111498,1555283.15764,237366.77116,198852.145395,538418.972332,406861.499365,210915.014933,272758.56417,225005.493298,181884.832748,175793.338579,162664.944173,11327.2592957,52985.9409261,10955.2879063,0,0,0,0,0,0,0,9411.76470588,0,3305.78512397,0,0,7272.72727273,0,0,0,10256.4102564
"TCGA-BH-A0H9-01A-11R-A056-07",6656877.56156,157541.370158,703.43277657,165112.230928,108242.235492,537249.473216,14929.2228055,1880.85708268,236317.752993,66473.8004629,261797.135467,92079.3351443,148897.857853,88120.6510564,73093.456499,296957.394573,100449.523954,764533.797162,4685.6252923,606720.195045,1801215.74892,131674.861075,199802.117515,94579.0856857,334895.127126,449044.452496,3309005.18757,1451.04773396,663797.73031,67343.3538915,453966.777422,28084.0731697,383906.379796,240998.310982,110678.364656,411395.139125,1396.87759444,7664.08335534,5394.64089224,925700.185268,168655.704046,71892.6753393,4432214.06729,562190.379759,248814.69687,270875.440061,163666.132182,276367.381133,145969.449845,95959.1875805,2223.20093591,10798.1513089,3250.01958899,0,0,0,0,0,0,0,0,0,0,0,0,3730.75165319,0,0,0,5261.31643398
"TCGA-AR-A2LQ-01A-22R-A18M-07",5408780.82107,166219.450557,979.596514808,456584.469587,85113.8644576,738344.06859,96942.2874988,825.896248229,173026.101077,60461.9954162,191832.603493,603211.870007,302442.197182,38019.732241,690152.71688,537867.548543,16260.4228094,615698.717137,23449.8488731,362202.618536,752755.009441,212079.898304,185867.68304,187703.085918,528395.160678,1099616.90087,2316915.12263,1479.82085034,434677.916755,165935.848129,655963.086351,114520.891577,260859.003913,291243.933808,197266.228442,419379.500066,40758.328384,212039.112958,58003.4962758,1412045.42819,260666.947588,290381.918929,1042661.29932,670195.353625,186464.410109,261112.406373,182922.447187,160834.351293,142355.812906,119841.841729,12430.9776562,120029.275718,5893.17570057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24422.9319119
